timestamp,value
2021-01-18T13:13:10Z,95.1
2021-01-18T13:14:10Z,94.9
2021-01-18T13:15:10Z,94.8
2021-01-18T13:16:10Z,94.6
2021-01-18T13:17:11Z,94.5
2021-01-18T13:18:11Z,94.8
2021-01-18T13:19:11Z,95.0
2021-01-18T13:20:11Z,95.1
2021-01-18T13:21:11Z,95.1
2021-01-18T13:22:11Z,95.2
2021-01-18T13:23:11Z,50.0
2021-01-18T13:24:12Z,95.6
2021-01-18T13:25:12Z,50.0
2021-01-18T13:26:12Z,95.5
2021-01-18T13:27:12Z,50.0
2021-01-18T13:28:12Z,93.0
2021-01-18T13:29:12Z,91.6
2021-01-18T13:30:13Z,91.0
2021-01-18T13:31:13Z,90.9
2021-01-18T13:32:13Z,90.7
2021-01-18T13:33:13Z,90.9
2021-01-18T13:34:13Z,91.0
2021-01-18T13:35:13Z,91.7
2021-01-18T13:36:13Z,92.2
2021-01-18T13:37:14Z,92.7
2021-01-18T13:38:14Z,92.7
2021-01-18T13:39:14Z,93.4
2021-01-18T13:40:14Z,94.1
2021-01-18T13:41:14Z,94.2
2021-01-18T13:42:14Z,94.7
2021-01-18T13:43:15Z,94.8
2021-01-18T13:44:15Z,94.3
2021-01-18T13:45:15Z,94.0
2021-01-18T13:46:15Z,94.3
2021-01-18T13:47:15Z,94.6
2021-01-18T13:48:15Z,94.1
2021-01-18T13:49:15Z,93.4
2021-01-18T13:50:16Z,94.1
2021-01-18T13:51:16Z,93.7
2021-01-18T13:52:16Z,94.2
2021-01-18T13:53:16Z,94.5
2021-01-18T13:54:16Z,95.2
2021-01-18T13:55:17Z,95.6
2021-01-18T13:56:17Z,50.0
2021-01-18T13:57:17Z,95.3
2021-01-18T13:58:17Z,95.2
2021-01-18T13:59:17Z,95.2
2021-01-18T14:00:17Z,95.2
2021-01-18T14:01:18Z,95.2
2021-01-18T14:02:18Z,95.3
2021-01-18T14:03:18Z,95.5
2021-01-18T14:04:18Z,95.8
2021-01-18T14:05:18Z,50.0
2021-01-18T14:06:19Z,95.8
2021-01-18T14:07:19Z,95.3
2021-01-18T14:08:19Z,95.1
2021-01-18T14:09:19Z,95.0
2021-01-18T14:10:19Z,95.0
2021-01-18T14:11:19Z,94.9
2021-01-18T14:12:20Z,94.8
2021-01-18T14:13:20Z,94.8
2021-01-18T14:14:20Z,94.8
2021-01-18T14:15:20Z,94.9
2021-01-18T14:16:20Z,94.9
2021-01-18T14:17:20Z,94.9
2021-01-18T14:18:20Z,95.1
2021-01-18T14:19:21Z,95.1
2021-01-18T14:20:21Z,95.0
2021-01-18T14:21:21Z,95.1
2021-01-18T14:22:21Z,95.3
2021-01-18T14:23:21Z,95.3
2021-01-18T14:24:21Z,95.3
2021-01-18T14:25:22Z,95.2
2021-01-18T14:26:22Z,95.3
2021-01-18T14:27:22Z,95.3
2021-01-18T14:28:22Z,95.2
2021-01-18T14:29:22Z,95.3
2021-01-18T14:30:22Z,95.3
2021-01-18T14:31:22Z,95.2
2021-01-18T14:32:23Z,95.3
2021-01-18T14:33:23Z,50.0
2021-01-18T14:34:23Z,50.0
2021-01-18T14:35:23Z,50.0
2021-01-18T14:36:23Z,94.9
2021-01-18T14:37:23Z,95.9
2021-01-18T14:38:23Z,95.7
2021-01-18T14:39:24Z,50.0
2021-01-18T14:40:24Z,95.5
2021-01-18T14:41:24Z,93.1
2021-01-18T14:42:24Z,90.4
2021-01-18T14:43:24Z,50.0
2021-01-18T14:44:24Z,89.5
2021-01-18T14:45:24Z,50.0
2021-01-18T14:46:25Z,50.0
2021-01-18T14:47:25Z,86.0
2021-01-18T14:48:25Z,50.0
2021-01-18T14:49:25Z,84.1
2021-01-18T14:50:25Z,82.2
2021-01-18T14:51:25Z,50.0
2021-01-18T14:52:25Z,82.8
2021-01-18T14:53:25Z,86.1
2021-01-18T14:54:25Z,86.0
2021-01-18T14:55:25Z,84.8
2021-01-18T14:56:26Z,50.0
2021-01-18T14:57:26Z,81.1
2021-01-18T14:58:26Z,81.2
2021-01-18T14:59:26Z,50.0
2021-01-18T15:00:26Z,50.0
2021-01-18T15:01:26Z,50.0
2021-01-18T15:02:26Z,50.0
2021-01-18T15:03:26Z,50.0
2021-01-18T15:04:26Z,50.0
2021-01-18T15:05:27Z,81.6
2021-01-18T15:06:27Z,50.0
2021-01-18T15:07:27Z,50.0
2021-01-18T15:08:27Z,80.8
2021-01-18T15:09:27Z,81.7
2021-01-18T15:10:27Z,50.0
2021-01-18T15:11:27Z,50.0
2021-01-18T15:12:27Z,50.0
2021-01-18T15:13:27Z,50.0
2021-01-18T15:14:27Z,50.0
2021-01-18T15:15:27Z,50.0
2021-01-18T15:16:28Z,50.0
2021-01-18T15:17:28Z,50.0
2021-01-18T15:18:28Z,80.1
2021-01-18T15:19:28Z,50.0
2021-01-18T15:20:28Z,50.0
2021-01-18T15:21:28Z,50.0
2021-01-18T15:22:28Z,82.2
2021-01-18T15:23:28Z,83.0
2021-01-18T15:24:28Z,50.0
2021-01-18T15:25:28Z,50.0
2021-01-18T15:26:28Z,50.0
2021-01-18T15:27:28Z,50.0
